home_team,away_team,home_points,away_points,home_fpi_strengthofrecord,home_fpi_fpi,home_fpi_averagewinprobability,home_fpi_strengthofschedule,home_fpi_remainingstrengthofschedule,home_fpi_gamecontrol,home_fpi_overall,home_fpi_offense,home_fpi_defense,home_fpi_specialteams,away_fpi_strengthofrecord,away_fpi_fpi,away_fpi_averagewinprobability,away_fpi_strengthofschedule,away_fpi_remainingstrengthofschedule,away_fpi_gamecontrol,away_fpi_overall,away_fpi_offense,away_fpi_defense,away_fpi_specialteams,home_sp_year,home_sp_team,home_sp_conference,home_sp_rating,home_sp_ranking,home_sp_secondorderwins,home_sp_sos,home_sp_offense_ranking,home_sp_offense_rating,home_sp_defense_ranking,home_sp_defense_rating,home_sp_specialteams_rating,away_sp_year,away_sp_team,away_sp_conference,away_sp_rating,away_sp_ranking,away_sp_secondorderwins,away_sp_sos,away_sp_offense_ranking,away_sp_offense_rating,away_sp_defense_ranking,away_sp_defense_rating,away_sp_specialteams_rating
Lincoln (CA),College of Idaho,7.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,Florida State,24.0,21.0,34.0,38.0,56.0,14.0,,26.0,66.705,72.242,58.501,35.797,106.0,85.0,126.0,11.0,,97.0,35.518,23.689,45.332,73.417,2024.0,Georgia Tech,ACC,1.9,66.0,,,42.0,31.1,79.0,27.9,-1.3,2024.0,Florida State,ACC,-3.2,83.0,,,114.0,20.1,58.0,25.3,2.0
Tarleton State,McNeese,26.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Montana State,31.0,35.0,109.0,106.0,106.0,118.0,,119.0,34.353,67.849,15.036,42.247,,,,,,,,,,,2024.0,New Mexico,Mountain West,-14.8,116.0,,,64.0,27.6,132.0,40.5,-1.9,,,,,,,,,,,,
Southeast Missouri State,North Alabama,37.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk State,Florida A&M,23.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,SMU,24.0,29.0,121.0,103.0,108.0,79.0,,108.0,32.498,47.2,30.419,32.833,15.0,13.0,13.0,60.0,,12.0,78.712,70.552,75.601,56.033,2024.0,Nevada,Mountain West,-15.2,117.0,,,106.0,21.0,113.0,34.2,-2.0,2024.0,SMU,ACC,17.5,12.0,,,5.0,38.2,30.0,21.1,0.4
Hawai'i,Delaware State,35.0,14.0,107.0,114.0,86.0,115.0,,107.0,32.71,35.004,37.024,49.876,,,,,,,,,,,2024.0,Hawai'i,Mountain West,-10.9,107.0,,,108.0,20.9,89.0,30.0,-1.8,,,,,,,,,,,,
Sul Ross State,West Texas A&M,21.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,Howard,44.0,7.0,54.0,54.0,59.0,74.0,,59.0,55.405,64.09,40.753,58.771,,,,,,,,,,,2024.0,Rutgers,Big Ten,6.4,42.0,,,58.0,28.5,38.0,22.8,0.7,,,,,,,,,,,,
Morehead State,Central State (OH),17.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Michigan,Minnesota Duluth,7.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,Youngstown State,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson-Newman College,Reinhardt University,50.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont State,Seton Hill,56.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Mary,Jamestown College,23.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Hill,Delta State,16.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne State (NE),Missouri S&T,49.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji State,Michigan Tech,19.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minot State,Valley City State,38.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Missouri St,Minnesota State Mankato,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern State,Missouri Western,31.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William & Mary,VMI,41.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Bryant,48.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
